designator,Name,div_id,address,phone,fax,afs,manager_id
KLATCC,Kuala Lumpur ACC,ANS Operation Division,"Air Traffic Control Centre, Block B, ATCC Complex, Sultan Abdul Aziz Shah Airport, 47200 Subang, Selangor Darul Ehsan.",(+60) 3 - 78473573,(+60) 3 - 78473572,WMFCZRZX,
WMKK,KL International Airport,ANS Operation Division,"Civil Aviation Authority Of Malaysia, Air Traffic Control Tower Complex, KL International Airport, 64000 KLIA, Selangor Darul Ehsan.",(+60) 3 - 87784080,(+60) 3 - 87784022,WMKKZTZX,
WMKA,ATS Alor Setar,Peninsular Malaysia Region,"Civil Aviation Authority Of Malaysia, CAAM Complex, Sultan Abdul Halim Airport, 06550 Alor Setar, Kedah Darul Aman.",(+60) 4 - 7145413 & (+60) 4 - 7145414,(+60) 4 - 7143970,WMKAZTZX,
WMKC,ATS Kota Bharu,Peninsular Malaysia Region,"Civil Aviation Authority Of Malaysia, Sultan Ismail Petra Airport, Pengkalan Chepa, 16100 Kota Bharu, Kelantan Darul Naim.",(+60) 9 - 7734197 & (+60) 9 - 7739026,(+60) 9 - 7730046,WMKCZTZX,
WMKE,ATS Kerteh,Peninsular Malaysia Region,"Civil Aviation Authority Of Malaysia, Kerteh Airport, 24300 Kerteh, Terengganu Darul Iman.",(+60) 9 - 8261172,(+60) 9 - 8263187,WMKEZTZX,
WMKI,ATS Ipoh,Peninsular Malaysia Region,"Civil Aviation Authority of Malaysia, Sultan Azlan Shah Airport, 31350 Ipoh, Perak Darul Ridzuan.",(+60) 5 - 3188602,(+60) 5 - 3188605,WMKIZTZX,
WMKJ,ATS Johor Bahru,Peninsular Malaysia Region,"Civil Aviation Authority Of Malaysia, Senai International Airport, 81250 Johor Bahru,",(+60) 7 - 5994789,(+60) 7 - 5994280,WMKJZTZX,
WMKL,ATS Langkawi,Peninsular Malaysia Region,"Civil Aviation Authority Of Malaysia, Langkawi International Airport, 07100 Padang Matsirat, Langkawi, Kedah Darul Aman.",(+60) 4 - 9552191,(+60) 4 - 9552195,WMKLZTZX,
WMKM,ATS Malacca,Peninsular Malaysia Region,"Civil Aviation Authority Of Malaysia, Malacca Airport, Hang Tuah Jaya, 75350 Batu Berendam, Malacca.",(+60) 6 - 3174759 & (+60) 6 - 3174895,(+60) 6 - 3174484,WMKMZTZX,
WMKN,ATS Kuala Terengganu,Peninsular Malaysia Region,"Civil Aviation Authority Of Malaysia, Sultan Mahmud Airport, 21300 Kuala Terengganu, Terengganu Darul Iman.",(+60) 9 - 6670271,(+60) 9 - 6675277,WMKNZTZX,
WMKP,ATS Penang,Peninsular Malaysia Region,"Civil Aviation Authority Of Malaysia, Penang International Airport, 11900 Bayan Lepas, Penang.",(+60) 4 - 6444911,(+60) 4 - 6443285,WMKPZTZX,
WMSA,ATS Subang Tower,Peninsular Malaysia Region,"Civil Authority Aviation Of Malaysia, Air Traffic Control Tower, Sultan Abdul Aziz Shah Airport, 47200 Subang, Selangor Darul Ehsan.",(+60) 3 - 78465602,(+60) 3 - 78471089,WMSAZTZX,
WMBT,ATS Pulau Tioman,Peninsular Malaysia Region,"Civil Aviation Authority Of Malaysia, Padang Terbang Pulau Tioman, 86800 Rompin, Pahang Darul Makmur.",(+60) 9 - 4191727,(+60) 9 - 4191790,WMBTZTZX,
WBKK,ATS Kota Kinabalu,Sabah Region,"Air Traffic Control Centre, Bangunan ATCC, 88618 Kota Kinabalu, Sabah.",(+60) 88 - 224911,(+60) 88 - 219198,WBFCZQZX,
WBKD,ATS Lahad Datu,Sabah Region,"Civil Aviation Authority of Malaysia, Lahad Datu Airport, P.O Box 60213, 91108 Lahad Datu, Sabah.",(+60) 89 - 886745,(+60) 89 - 881511,WBKDZTZX,
WBKS,ATS Sandakan,Sabah Region,"Civil Aviation Authority of Malaysia, Sandakan Airport, P.O. Box 1363, 90008 Sandakan, Sabah.",(+60) 89 - 667766,(+60) 89 - 666529,WBKSZTZX,
WBKW,ATS Tawau,Sabah Region,"Civil Aviation Authority of Malaysia, Tawau Airport, P.O. Box 379, 91007 Tawau, Sabah.",(+60) 89 - 950113,(+60) 89 - 950100,WBKWZTZX,
WBGG,ATS Kuching,Sarawak Region,"Civil Aviation Authority of Malaysia, Kuching International Airport, P.O Box 1359, 93728 Kuching, Sarawak.",(+60) 82 - 455572 & (+60) 82 - 616532,(+60) 82 - 453199,WBGGZRZX,
WBGB,ATS Bintulu,Sarawak Region,"Civil Aviation Authority of Malaysia, Bintulu Airport, P.O Box 2833, 97012 Bintulu, Sarawak.",(+60) 86 - 332561 & (+60) 86 - 331331,(+60) 86 - 330501,WBGBZTZX,
WBGR,ATS Miri,Sarawak Region,"Civil Aviation Authority of Malaysia, Jalan Lapangan Terbang Miri, 98000 Miri, Sarawak.",(+60) 85 - 614991 & (+60) 85 - 614992,(+60) 85 - 613860,WBGRZTZX,
WBGS,ATS Sibu,Sarawak Region,"Civil Aviation Authority of Malaysia, Sibu Airport, Jalan Durin, 96007 Sibu, Sarawak.",(+60) 84 - 307764,(+60) 84 - 307708,WBGSZTZX,
WBGJ,ATS Limbang,Sarawak Region,"Civil Aviation Authority of Malaysia, Limbang Airport, 98700 Limbang, Sarawak.",(+60) 85 - 216822,(+60) 85 - 212872,WBGJZTZX,
WBMU,ATS Mulu,Sarawak Region,"Civil Aviation Authority of Malaysia, Padang Terbang Mulu, 98050 Mulu, Sarawak.",(+60) 85 - 792104,(+60) 85 - 792105,NIL,
WBGM,ATS Marudi,Sarawak Region,"Civil Aviation Authority of Malaysia, Padang Terbang Marudi, Jalan Limbang, 98050 Marudi, Sarawak.",(+60) 85 - 755069,(+60) 85 - 756504,NIL,
WBGW,ATS Lawas,Sarawak Region,"Civil Aviation Authority of Malaysia, Padang Terbang Lawas, 98850 Lawas, Sarawak.",(+60) 85 - 285401,(+60) 85 - 284388,NIL,
WBGK,ATS Mukah,Sarawak Region,"Civil Aviation Authority of Malaysia, Mukah Airport, Jalan OYA, Mukah, 96400 Mukah, Sarawak.",N/A,N/A,NIL,
